34;11;172;2
34;13;172;2
34;12;190;2
35;2;21;1
35;4;21;1
35;3;46;1
35;6;76;2
35;5;83;2
35;7;87;2
35;8;99;2
35;11;102;2
35;13;102;2
35;10;103;2
35;9;107;2
35;12;120;2
36;3;39;1
36;4;42;1
36;2;42;1
36;8;91;2
36;10;95;2
36;9;99;2
36;11;156;2
36;13;156;2
36;5;168;2
36;12;174;2
36;7;175;2
37;3;31;1
37;4;34;1
37;2;37;1
37;8;84;2
37;10;88;2
37;6;91;2
37;9;92;2
37;5;98;2
37;7;106;2
37;11;149;2
37;13;149;2
37;12;167;2
38;3;24;1
38;4;27;1
38;2;27;1
38;11;79;2
38;13;79;2
38;6;83;2
38;5;90;2
38;12;97;2
38;7;98;2
38;8;107;2
38;10;110;2
38;9;114;2
39;2;20;1
39;4;20;1
39;3;46;1
39;6;107;2
39;5;115;2
39;7;118;2
39;11;133;2
39;13;133;2
39;12;151;2
39;8;162;2
39;10;166;2
39;9;169;2
40;3;40;1
40;4;42;1
40;2;42;1
40;11;91;2
40;13;95;2
40;12;113;2
40;8;122;2
40;10;126;2
40;9;129;2
40;5;137;2
40;7;144;2
41;3;30;1
41;4;33;1
41;2;36;1
41;11;83;2
41;13;87;2
41;12;105;2
41;8;114;2
41;10;118;2
41;9;121;2
41;5;160;2
41;7;167;2
42;3;25;1
42;4;27;1
42;2;28;1
42;11;76;2
42;13;80;2
42;6;84;2
42;5;92;2
42;7;95;2
42;12;98;2
42;8;107;2
42;10;111;2
42;9;114;2
43;4;21;1
43;2;21;1
43;3;46;1
43;11;66;2
43;13;70;2
43;12;88;2
43;8;99;2
43;10;103;2
43;9;106;2
43;6;170;2
43;5;177;2
43;7;181;2
44;3;39;1
44;4;43;1
44;2;43;1
44;6;98;2
44;7;112;2
44;8;122;2
44;10;126;2
44;9;129;2
44;11;153;2
44;13;157;2
44;12;175;2
45;3;30;1
45;4;33;1
45;2;36;1
45;8;83;2
45;11;86;2
45;13;86;2
45;10;87;2
45;9;90;2
45;6;91;2
45;12;104;2
45;7;105;2
46;3;23;1
46;2;27;1
46;4;27;1
46;8;75;2
46;10;79;2
46;9;82;2
46;11;109;2
46;13;109;2
46;12;127;2
46;6;146;2
46;5;153;2
46;7;157;2
47;4;20;1
47;2;20;1
47;3;45;1
47;8;99;2
47;10;103;2
47;9;106;2
47;11;164;2
47;13;164;2
47;5;176;2
47;12;182;2
47;7;183;2
48;3;40;1
48;4;43;1
48;2;43;1
48;8;122;2
48;10;126;2
48;9;130;2
48;11;157;2
48;13;157;2
48;12;175;2
48;5;200;2
48;7;204;2
49;3;30;1
49;4;34;1
49;2;37;1
49;8;84;2
49;10;88;2
49;9;91;2
49;11;149;2
49;13;149;2
49;12;167;2
49;5;192;2
49;7;196;2
50;3;24;1
50;4;27;1
50;2;27;1
50;11;141;2
50;13;141;2
50;5;153;2
50;12;159;2
50;7;160;2
50;8;170;2
50;10;174;2
50;9;177;2
51;4;20;1
51;2;20;1
51;3;46;1
51;11;164;2
51;13;164;2
51;5;176;2
51;7;180;2
51;12;182;2
51;8;192;2
51;10;196;2
51;9;199;2
52;3;40;1
52;2;42;1
52;4;42;1
52;11;125;2
52;13;125;2
52;5;137;2
52;12;143;2
52;7;144;2
52;8;154;2
52;10;158;2
52;9;161;2
53;3;31;1
53;4;34;1
53;2;37;1
53;6;92;2
53;5;99;2
53;7;103;2
53;11;118;2
53;13;118;2
53;12;136;2
53;8;147;2
53;10;151;2
53;9;154;2
54;3;25;1
54;4;27;1
54;2;27;1
54;8;169;2
54;11;170;2
54;10;173;2
54;13;173;2
54;9;176;2
54;6;178;2
54;5;185;2
54;7;189;2
54;12;191;2
55;2;21;1
55;4;21;1
55;3;46;1
55;6;77;2
55;5;84;2
55;7;88;2
55;11;133;2
55;13;133;2
55;12;151;2
55;8;193;2
55;10;196;2
55;9;200;2
56;3;39;1
56;4;42;1
56;2;43;1
56;8;90;2
56;11;93;2
56;13;93;2
56;10;93;2
56;9;97;2
56;12;111;2
56;6;161;2
56;5;168;2
56;7;172;2
57;3;30;1
57;4;33;1
57;2;36;1
57;8;83;2
57;10;86;2
57;9;90;2
57;11;117;2
57;13;117;2
57;6;122;2
57;12;135;2
57;7;136;2
58;3;24;1
58;2;28;1
58;4;28;1
58;5;91;2
58;7;98;2
58;8;138;2
58;10;142;2
58;9;145;2
58;11;173;2
58;13;173;2
58;12;191;2
59;4;21;1
59;2;21;1
59;3;46;1
59;6;76;2
59;5;83;2
59;7;87;2
59;11;102;2
59;13;102;2
59;12;120;2
59;8;130;2
59;10;134;2
59;9;137;2
60;3;40;1
60;2;43;1
60;4;43;1
60;6;131;2
60;5;138;2
60;7;142;2
60;8;154;2
60;11;157;2
60;13;157;2
60;10;157;2
60;9;161;2
60;12;175;2
61;3;30;1
61;4;33;1
61;2;36;1
61;6;91;2
61;7;105;2
61;11;115;2
61;13;118;2
61;12;136;2
61;8;146;2
61;10;149;2
61;9;153;2
62;3;23;1
62;4;27;1
62;2;27;1
62;8;138;2
62;10;141;2
62;9;145;2
62;6;145;2
62;5;153;2
62;7;156;2
62;11;172;2
62;13;172;2
62;12;190;2
63;2;20;1
63;4;20;1
63;3;45;1
63;6;76;2
63;5;83;2
63;7;86;2
63;11;164;2
63;13;164;2
63;12;182;2
63;8;192;2
63;10;195;2
63;9;199;2
64;3;40;1
64;4;43;1
64;2;43;1
64;8;155;2
64;10;158;2
64;9;162;2
64;6;163;2
64;5;170;2
64;7;173;2
64;11;185;2
64;13;189;2
64;12;207;2
65;3;31;1
65;4;33;1
65;2;36;1
65;11;84;2
65;13;87;2
65;12;105;2
65;6;122;2
65;5;130;2
65;7;133;2
65;8;177;2
65;10;180;2
65;9;184;2
66;3;24;1
66;4;27;1
66;2;27;1
66;8;75;2
66;11;76;2
66;10;79;2
66;13;79;2
66;9;82;2
66;12;97;2
66;6;147;2
66;5;154;2
66;7;157;2
67;2;20;1
67;4;21;1
67;3;46;1
67;8;131;2
67;10;134;2
67;9;138;2
67;6;139;2
67;5;146;2
67;7;149;2
67;11;161;2
67;13;165;2
67;12;183;2
68;3;40;1
68;4;43;1
68;2;44;1
68;6;98;2
68;5;105;2
68;7;109;2
68;11;125;2
68;13;125;2
68;12;143;2
68;8;153;2
68;10;156;2
68;9;160;2
69;3;31;1
69;4;34;1
69;2;37;1
69;8;83;2
69;10;87;2
69;9;91;2
69;5;98;2
69;7;102;2
69;11;180;2
69;13;180;2
69;12;198;2
70;3;24;1
70;2;27;1
70;4;28;1
70;8;138;2
70;10;141;2
70;9;145;2
70;11;172;2
70;13;172;2
70;6;177;2
70;5;184;2
70;7;188;2
70;12;190;2
71;4;20;1
71;2;21;1
71;3;46;1
71;8;100;2
71;11;102;2
71;13;102;2
71;10;103;2
71;9;107;2
71;12;120;2
71;6;169;2
71;5;176;2
71;7;180;2
72;3;39;1
72;4;42;1
72;2;43;1
72;8;92;2
72;10;95;2
72;9;99;2
72;6;99;2
72;5;107;2
72;7;111;2
72;11;156;2
72;13;156;2
72;12;174;2
73;3;30;1
73;4;33;1
73;2;36;1
73;11;114;2
73;13;118;2
73;12;136;2
73;8;145;2
73;10;149;2
73;9;152;2
73;5;191;2
73;7;198;2
74;3;24;1
74;4;27;1
74;2;28;1
74;11;79;2
74;13;79;2
74;12;97;2
74;8;107;2
74;10;110;2
74;9;114;2
74;6;116;2
74;5;123;2
74;7;126;2
75;4;21;1
75;2;21;1
75;3;46;1
75;11;99;2
75;13;103;2
75;6;108;2
75;5;115;2
75;7;118;2
75;12;121;2
75;8;130;2
75;10;134;2
75;9;137;2
76;3;40;1
76;4;43;1
76;2;43;1
